,phrase,label,sentiment,subjectivity,language,count
"Link
","Link
",MISC,,,de,34.49999999999999
“,“,MISC,-1.4210526315789476,0.0,de,17.1
Wetter“,Wetter“,MISC,,,de,8.700000000000001
deutschen,deutschen,MISC,,,de,8.700000000000001
Hamburger,Hamburger,MISC,,,de,6.6
deutsche,deutsche,MISC,,,de,5.1
Hurrikan,Hurrikan,MISC,,,de,3.0
ungemütliches,ungemütliches,MISC,,,de,3.0
Aidaperla,Aidaperla,MISC,-0.35,0.0,de,3.0
schleswig-holsteinische,schleswig-holsteinische,MISC,,,de,3.0
Tages,Tages,MISC,,,de,2.9
Winterwetter“,Winterwetter“,MISC,,,de,2.4999999999999996
Hurrikan Melissa,Hurrikan Melissa,MISC,,,de,2.1
NonstopNews,NonstopNews,MISC,,,de,2.0
Nordseeküste,Nordseeküste,MISC,0.0,0.0,de,2.0
Windsurf-Elite,Windsurf-Elite,MISC,,,de,2.0
Sturm über Nordeuropa,Sturm über Nordeuropa,MISC,,,de,2.0
Zwei Jahre nach der Ostseesturmflut,Zwei Jahre nach der Ostseesturmflut,MISC,,,de,2.0
Sturmflut-Katastrophe,Sturmflut-Katastrophe,MISC,-0.125,0.5357142857142857,de,1.9
Niedersächsische,Niedersächsische,MISC,,,de,1.9
Das Winterwetter hält Deutschland,Das Winterwetter hält Deutschland,MISC,,,de,1.9
Joshua“,Joshua“,MISC,,,de,1.9
Wer an der Küste,Wer an der Küste,MISC,,,de,1.6
Wattenmeer,Wattenmeer,MISC,0.0,0.0,de,1.6
Gefährlicher Wirbelsturm,Gefährlicher Wirbelsturm,MISC,,,de,1.5000000000000002
Kategorie-5-Hurrikan,Kategorie-5-Hurrikan,MISC,,,de,1.2
KI-Rechenmodelle,KI-Rechenmodelle,MISC,,,de,1.2
Sea Level Rise 3D Map,Sea Level Rise 3D Map,MISC,,,de,1.1
Todesopfer,Todesopfer,MISC,,,de,1.0
Zwei Jahre nach Ostseeflut“,Zwei Jahre nach Ostseeflut“,MISC,,,de,1.0
Sturm des Jahres,Sturm des Jahres,MISC,,,de,1.0
…,…,MISC,0.0,0.0,de,1.0
28.10.2025,28.10.2025,MISC,,,de,1.0
UPDATE startest du jeden Morgen,UPDATE startest du jeden Morgen,MISC,,,de,1.0
Das Tiefdruckgebiet «Joshua,Das Tiefdruckgebiet «Joshua,MISC,,,de,1.0
Das stürmische Wetter,Das stürmische Wetter,MISC,,,de,1.0
Tages…,Tages…,MISC,,,de,1.0
Tag,Tag,MISC,0.7,0.0,de,1.0
N…,N…,MISC,,,de,1.0
Fischmarkt“,Fischmarkt“,MISC,,,de,1.0
"Hurrikansaison
","Hurrikansaison
",MISC,,,de,1.0
Bomben-Zyklon,Bomben-Zyklon,MISC,,,de,1.0
Sturmflut“,Sturmflut“,MISC,,,de,1.0
30.10.2025,30.10.2025,MISC,,,de,1.0
Todesopfer in der Karibik,Todesopfer in der Karibik,MISC,,,de,1.0
J…,J…,MISC,,,de,1.0
Inselsc…,Inselsc…,MISC,,,de,1.0
Die WarnWetter-App,Die WarnWetter-App,MISC,,,de,1.0
WarnWetter-App,WarnWetter-App,MISC,,,de,1.0
Katastrophe ka…,Katastrophe ka…,MISC,,,de,1.0
Me…,Me…,MISC,,,de,1.0
Liebe Leserin,Liebe Leserin,MISC,,,de,1.0
Sonntag Wintertag,Sonntag Wintertag,MISC,,,de,1.0
Der Newsblog,Der Newsblog,MISC,,,de,1.0
VW,VW,MISC,,,de,1.0
dänischen,dänischen,MISC,,,de,1.0
Bu…,Bu…,MISC,,,de,1.0
Sturm und Schnee,Sturm und Schnee,MISC,,,de,1.0
Das neue Jahr,Das neue Jahr,MISC,,,de,1.0
Katja Ju…,Katja Ju…,MISC,,,de,1.0
Meeresspiegelanstieg,Meeresspiegelanstieg,MISC,,,de,1.0
Klimawandels“,Klimawandels“,MISC,,,de,1.0
Wind w…,Wind w…,MISC,,,de,1.0
Dac…,Dac…,MISC,,,de,1.0
KI Stürme,KI Stürme,MISC,,,de,1.0
Hurrikan des Jahres,Hurrikan des Jahres,MISC,,,de,1.0
NZZ QUANTENSPRUNG,NZZ QUANTENSPRUNG,MISC,,,de,1.0
PODCAST,PODCAST,MISC,,,de,1.0
Zerstörerische Winde und Sturmflut,Zerstörerische Winde und Sturmflut,MISC,,,de,1.0
Wirbelsturms,Wirbelsturms,MISC,,,de,1.0
Gefährlicher Wirbelsturm“,Gefährlicher Wirbelsturm“,MISC,,,de,1.0
parkerspics…,parkerspics…,MISC,,,de,1.0
niedersächsischer,niedersächsischer,MISC,,,de,1.0
Deutschland meterhoch im Meer,Deutschland meterhoch im Meer,MISC,,,de,1.0
Sturm auf der Ostsee,Sturm auf der Ostsee,MISC,,,de,1.0
Schleswig-Holsteins Umw…,Schleswig-Holsteins Umw…,MISC,,,de,1.0
Die meisten halbnackt,Die meisten halbnackt,MISC,,,de,1.0
Zeit,Zeit,MISC,,,de,1.0
